language_long	mca_comma	mca_comma_remove_parenthesis	mca_ed	mca_remove_parenthesis
Hakka	0.06661627787130243	0.06647885388394545	0.055416222901707494	0.06434878207991204
Hawaiian	0.029706866024001573	0.02305724965571513	0.025850875467243753	0.0223096596498131
Hebrew	1.5598883469739147	1.5597973254852584	1.3679316125215228	1.4470065307918112
Hindi	1.5190398577567048	1.508964291006075	1.4575122240331901	1.4854422877463327
Fiji Hindi	0.048739620955430614	0.04788323342145437	0.040659790743567785	0.04736195405294709
Fiji Hindi in Latin script	0.01963003434280362	0.01974711208242273	0.011785825788323446	0.017951920074929753
Hiligaynon	0.06548933038999265	0.06548933038999265	0.02869757174392936	0.03384841795437822
Hiri Motu	0.02041530564629025	0.02053196453569762	0.012599160055996267	0.018743194898117904
Croatian	0.26195019130295794	0.26047301515946153	0.24046232380647933	0.24797082989935315
Hunsrik	0.08728763913298183	0.08787346221441125	0.08201523140011717	0.08728763913298183
Upper Sorbian	0.17567452669765332	0.16751218682689037	0.15823035936968596	0.15672826210180252
Haitian Creole	0.08991592277351049	0.08228669296242475	0.077563836412705	0.08000311397135146
Hungarian	0.8283560327317634	0.8030677825774395	0.25614100928853806	0.6026235145103479
formal Hungarian	0.0	0.0	0.0	0.0
Armenian	1.2315201801329405	1.2300087907342576	1.1577397017319289	1.2212489011582177
Western Armenian	1.493932584269663	1.4687640449438202	1.411685393258427	1.4624719101123596
Herero	0.019911935471301094	0.020028835288158048	0.012079647741885205	0.01823637142968476
Interlingua	0.11492790120358835	0.11565485472567259	0.10052606579855354	0.10533957089853202
Indonesian	0.22002205012549805	0.2119801615227372	0.18230896314143916	0.18730940652122918
Interlingue	0.1099819229973649	0.11091824804388883	0.09636571305231538	0.10082741253709866
Igbo	0.031366333714201465	0.03125575909476245	0.019461133021267184	0.02867568464118536
Nuosu	0.11797752808988764	0.11797752808988764	0.11797752808988764	0.11797752808988764
Inupiat	0.01990281827016521	0.020019436345966958	0.012089407191448008	0.0182312925170068
Eastern Canadian (Aboriginal syllabics	0.054009819967266774	0.054009819967266774	0.05073649754500818	0.057283142389525366
Eastern Canadian in Latin script	0.019852768423525725	0.019970240426031797	0.011982144255619078	0.018169003054272066
Ilocano	0.04641782444458672	0.046577885908188746	0.033164735258339205	0.04151994365836481
Ingush	1.073394495412844	1.091743119266055	0.6651376146788991	1.1238532110091743
Ido	0.13728819493068198	0.1381821364491707	0.1211139896373057	0.12648024156492058
Icelandic	0.16773856327977638	0.1685869902809657	0.1570423228719254	0.1634131006219273
Italian	0.3232744773195422	0.3249414824174284	0.22759460951985	0.24328458574171002
Inuktitut	0.017669059799664676	0.017798031039078285	0.011435449894673488	0.017626069386526805
Japanese	1.621270380829903	1.5949080506566886	1.5874741234277492	1.5781036269206825
Jamaican Creole	0.1244591400488227	0.12568778900054248	0.10748743913307415	0.11221616594766345
Lojban	0.029634179110206903	0.029826110322060572	0.02042148094123066	0.02667843844766036
Jutlandic	0.0845771144278607	0.0845771144278607	0.07213930348258707	0.07213930348258707
Javanese	0.056659789087574505	0.0572673085740486	0.047925263640531866	0.055020632737276476
Georgian	1.9313543599257885	1.9307090425102849	1.837259014277648	1.9184480116157134
Karakalpak	0.0285204991087344	0.028634277695604355	0.017673607160465735	0.025865665415102213
Kabyle	0.1267785998861696	0.12802204198843573	0.10969110570704196	0.11472441046735742
Kabardian	0.8271954674220963	0.8243626062322946	0.6062322946175638	0.7308781869688386
Kabardian in Cyrillic script	0.0903954802259887	0.0903954802259887	0.0903954802259887	0.0903954802259887
Kabiye	0.4343283582089552	0.4417910447761194	0.382089552238806	0.4373134328358209
Cape Verdean Creole	0.05070422535211268	0.05070422535211268	0.05070422535211268	0.05070422535211268
Kongo	0.10968566559363757	0.11073765136954525	0.09557848892255255	0.10012403071417074
Khowar	0.12849162011173185	0.12849162011173185	0.12849162011173185	0.12849162011173185
Gikuyu	0.020522388059701493	0.02063899253731343	0.012554415422885571	0.018851057213930347
Kirmanjki	0.08465608465608465	0.08465608465608465	0.08465608465608465	0.08465608465608465
Kwanyama	0.018259675204007432	0.018380867738547305	0.012159650965500526	0.018259675204007432
Eastern Pwo	1.0	1.1666666666666667	1.1666666666666667	1.1666666666666667
Kazakh	2.3792884874415656	2.3829332065604945	1.7501782743047303	2.3090880278900245
Kazakh Arabic alphabets	2.5720470006184293	2.5974025974025974	2.034632034632035	2.580705009276438
Kazakh in China	2.3797979797979796	2.404040404040404	1.8111111111111111	2.3878787878787877
Kazakh in Cyrillic script	2.3531448355452973	2.36468551644547	1.6745527986151183	2.321407963069821
Kazakh in Kazakhstan	1.624823695345557	1.6346967559943582	1.120592383638928	1.5740479548660085
Kazakh in Latin script	0.13450118764845606	0.13457541567695963	0.09308194774346794	0.13546615201900236
Kazakh in Turkey	0.08814491347242438	0.08814491347242438	0.05786026200873363	0.08891314895681708
Greenlandic	0.036402774455871804	0.036881128916527145	0.030710356374073187	0.035111217412102366
Khmer	1.2635933806146573	1.2765957446808511	1.202127659574468	1.2364066193853427
Kannada	1.5916898792943361	1.5952878365831011	1.514275766016713	1.592966573816156
Korean	1.354280510018215	1.350003252667187	0.9685873666406454	1.3396516393442623
North Korean standard language	0.1134020618556701	0.1134020618556701	0.10824742268041238	0.1134020618556701
Permyak	1.9676258992805755	1.974820143884892	0.7877697841726619	1.841726618705036
Kanuri	0.018974566007266856	0.01909568025837707	0.01227291077916835	0.018368994751715786
Karachay-Balkar	0.9708333333333333	0.9708333333333333	0.5875	1.2291666666666667
Krio	0.08011049723756906	0.08011049723756906	0.08011049723756906	0.08011049723756906
Kinaray-a	0.014384793218597482	0.0144704169877558	0.00830550560835688	0.014384793218597482
Karelian	0.05357142857142857	0.05357142857142857	0.05357142857142857	0.05357142857142857
Kashmiri	0.7892976588628763	0.7993311036789298	0.7792642140468228	0.7959866220735786
Kashmiri in Arabic script	0.11864406779661017	0.11864406779661017	0.11864406779661017	0.11864406779661017
Kashmiri in Devanagari script	0.11797752808988764	0.11797752808988764	0.11797752808988764	0.11797752808988764
Ripuarian	0.04393462800875274	0.044173960612691465	0.03176285557986871	0.03904540481400438
Kurdish	0.11370784873089021	0.11253748811352499	0.10207739009582327	0.11063565211030649
Kurdish Arabic alphabet	0.9049145299145299	0.9038461538461539	0.8664529914529915	0.9027777777777778
Kurdish in Latin script	0.036771042803792016	0.03693519924488037	0.02987647227808101	0.03615545614971068
Kumyk	0.0	0.0	0.0	0.0
Komi	3.4375	3.4488636363636362	1.2897727272727273	3.2869318181818183
Cornish	0.03270389714744878	0.03266372036962636	0.024989955805544396	0.030936118923262354
Kyrgyz	3.5686920083807245	3.5752768632146066	1.9778509428314877	4.52259802454355
Latin	0.7424228756990799	0.7462715737566901	0.7094082626736424	0.739806963738048
Judaeo-Spanish	0.034955277280858676	0.035098389982110914	0.027262969588550984	0.03445438282647585
Luxembourgish	0.18625520450649033	0.18603079123581306	0.14621111927504285	0.15014523705724742
Lak	0.44493392070484583	0.44052863436123346	0.3788546255506608	0.7444933920704846
Lezgian	1.4729458917835672	1.4839679358717435	1.0711422845691383	1.4018036072144289
Lingua Franca Nova	0.03806702344546381	0.03809887869520897	0.029274974515800203	0.034977064220183485
Luganda	0.018547587574355585	0.01867151354923992	0.011938202247191011	0.018547587574355585
Limburgish	0.14346647767912804	0.1440842574972111	0.11070863764920501	0.1151978476277971
Ligurian	0.11952821378001385	0.12079445059538604	0.10662639713192541	0.111778927627268
Livonian	0.08908973531310523	0.08973531310522918	0.08327953518398967	0.08908973531310523
Laki	0.05224787363304982	0.05224787363304982	0.05224787363304982	0.05224787363304982
Ladin	0.5364238410596026	0.45695364238410596	0.3708609271523179	0.5496688741721855
Lombard	0.1732122402225495	0.17396498118147602	0.16218294878088693	0.17119947635411553
Lingala	0.03247653372410789	0.03263495583983524	0.023050417838330232	0.03255574478197156
Lao	0.06118961854622702	0.061743788676457	0.05380068347649395	0.061466703611342016
Lozi	0.01411420456990404	0.014200266792891261	0.008003786737811438	0.01411420456990404
Northern Luri	0.9686684073107049	0.9712793733681462	0.9973890339425587	0.9686684073107049
Lithuanian	0.2813657134393531	0.2781032628968907	0.24687727998332354	0.25094902683606524
Latgalian	0.023562219617669643	0.023966374328092795	0.016449096714222206	0.023077233965161863
Mizo	0.014076019112392923	0.01416211097240756	0.007963497051353794	0.014076019112392923
Southern Luri	0.017297006632012904	0.017386628428033696	0.007348987273704965	0.017297006632012904
Latvian	0.34206733634580583	0.34304259722809183	0.31669971717434414	0.33260730578763154
Classical Chinese	0.673128735181738	0.19167972959733517	0.6686367198981091	0.18873812089742334
Laz	0.013885295385942216	0.013971539456662354	0.007761966364812419	0.013885295385942216
Madurese	0.019867549668874173	0.020376974019358125	0.019867549668874173	0.019867549668874173
Maithili	1.102789645639608	1.1045488816285498	1.0932395074139232	1.099271173661724
Banyumasan	0.025618654822335024	0.02671584179357022	0.01924703891708968	0.025618654822335024
Moksha	0.7890909090909091	0.7781818181818182	0.6327272727272727	1.7127272727272727
Malagasy	0.14297844595567888	0.1436467020470053	0.12730002046989788	0.13466262319939348
Marshallese	0.017749911691981632	0.017882373719533735	0.01130342635111268	0.017749911691981632
Meadow Mari	0.7717391304347826	0.7730978260869565	0.7880434782608695	1.5896739130434783
Māori	0.03114342366159947	0.031302876480541454	0.019167217448777262	0.023662225042301185
Minangkabau	0.08454568657478305	0.0857522061779363	0.07287519142419602	0.07816537879899693
Macedonian	1.3278707181062934	1.3240013656538068	1.2777398429498121	1.2610105838170025
Malayalam	1.480465230567614	1.490949299696945	1.430706855598329	1.470800229339012
Mongolian	1.191301703163017	1.1958637469586375	0.8730231143552312	1.1385340632603407
Meitei	1.8333333333333333	1.9166666666666667	1.8333333333333333	1.9166666666666667
Mon language spelling	1.8181818181818181	1.709090909090909	1.4363636363636363	1.709090909090909
Moldovan	0.02807239247190504	0.02829805479081103	0.01963262174482105	0.027395405515187075
Marathi	1.5117284388066048	1.5143505066969032	1.4381688044787755	1.4811140245198782
Hill Mari	1.5900621118012421	1.5817805383022774	1.5631469979296067	3.1656314699792962
Malay	0.16454572358686	0.16441300196593783	0.1355571527219944	0.14996793900660246
Maltese	0.21219742219427853	0.2094839424874667	0.1978358344777379	0.20543026853521731
Muscogee	0.01959303711946586	0.019712264525872346	0.012995787298306971	0.018996900087433433
Mirandese	0.06155657852478321	0.061984798201477356	0.049352317739000104	0.057488491596188844
Burmese	0.24235343208846233	0.24181097433757562	0.21372835384936364	0.24014187356561653
Erzya	0.5466408893185114	0.5480908651522475	0.5166747220879652	1.8028032866118897
Mazanderani	1.730438344940598	1.7484637443670628	1.6956165505940188	1.733306022122081
Nauruan Wikiquote	0.019802770790913082	0.01992254561424522	0.013774104683195593	0.019802770790913082
Nahuatl	0.043374027219415044	0.043337144543208056	0.03566554789215506	0.04152989340906576
Southern Min	1.304589543411403	1.305180979418027	0.8797019162526615	1.275490891885498
Neapolitan	0.11167272754995464	0.11292388387411564	0.09910115957276491	0.10402689680409856
Bokmål	0.26557669950437496	0.2566809493817532	0.23078667727263455	0.2284290753872813
Low German	0.19392630612585546	0.19157622397563004	0.14883088521671395	0.1514151484697479
Dutch Low Saxon	0.17548520902491854	0.17299502976007855	0.1619736026655049	0.16449039700558385
Nepali	1.3317445185891326	1.332538925961233	1.290276453765491	1.3284080076263107
Newar	1.533271719038817	1.524029574861368	1.466728280961183	1.524029574861368
Ndonga	0.01829911547512781	0.01842083908139252	0.012172360626470827	0.01829911547512781
Nias	0.0	0.0	0.0	0.0
Niuean	0.08923076923076922	0.08923076923076922	0.08923076923076922	0.08923076923076922
Dutch	0.32202431914868257	0.3116070430607945	0.17129734615414283	0.17353703962629757
informal Dutch	0.5	0.16666666666666666	0.16666666666666666	0.0
Nynorsk	0.15093901421981062	0.15161012595273898	0.14276581943667357	0.14826952807017132
Norwegian	0.0979381443298969	0.0979381443298969	0.0979381443298969	0.0979381443298969
Northern Thai	0.11176470588235295	0.11176470588235295	0.11176470588235295	0.11176470588235295
Novial	0.02837961550198352	0.028455904790967348	0.022581629539212694	0.028417760146475436
N'Ko	2.3916349809885933	2.387832699619772	2.338403041825095	2.3954372623574143
Norman	0.11195675042764752	0.1130188989919318	0.09797016072228981	0.10243509760515195
Northern Sotho	0.02012421358283594	0.020245200838844974	0.013429585417002742	0.02012421358283594
Navajo	0.02333830464750695	0.02341892055302511	0.01588133338707727	0.02233060582852997
