language_long	mca_baseline	mca_comma	mca_edit_distance	mca_remove_parenthesis	mca_comma_remove_parenthesis	max_diff
Jutlandic	0.0	0.0124378109452737	0.0	0.0	0.0124378109452737	0.0124378109452737
Ido	0.0	0.011535499229799684	-0.0046387060635765115	0.0007275458640382815	0.0124294407482885	0.0124294407482885
Croatian	0.0	0.012237395482652791	-0.009250472013825783	-0.0017419659209519933	0.010760219339156385	0.012237395482652791
Wolof	0.0	0.0106042133318211	-0.0036197983120209998	0.0008042916998774047	0.011644886751197708	0.011644886751197708
Pali	0.0	0.009730967372638899	-0.0088723526044647	0.001431024613623405	0.011448196908986907	0.011448196908986907
Norman	0.0	0.010355016053933894	-0.003631573651423803	0.0008333632314383027	0.011417164618218192	0.011417164618218192
Kongo	0.0	0.010348418860064407	-0.0037587578110205994	0.0007867839805976024	0.011400404635972111	0.011400404635972111
Zulu	0.0	0.010364048888432495	-0.003809488240072406	0.0007292119376204886	0.011373469640701794	0.011373469640701794
Palatinate German	0.0	0.004084214330893593	-0.007716635041113223	-0.011168338303063213	-0.0067407608204572145	0.011168338303063213
North Frisian	0.0	0.01109440769693329	-0.0074564040889958105	-0.008884546001202615	0.002675886951292783	0.01109440769693329
Serbian written in Latin script	0.0	0.009428967090257423	-0.007015721733463681	0.001132201438922703	0.010968567482076502	0.010968567482076502
Franco-Provençal	0.0	0.010006761325219701	-0.0037142213207122105	0.000695075496994893	0.010945336937260297	0.010945336937260297
Interlingua	0.0	0.010126990670621894	-0.004274844734412905	0.0005386603655656019	0.010853944192706091	0.010853944192706091
Interlingue	0.0	0.009856912879639593	-0.0037592970654100055	0.0007024024193733047	0.010793237926163504	0.010793237926163504
Estonian	0.0	0.00851714817345417	-0.010631394844160313	-0.0036730185122913483	0.0050676241870803995	0.010631394844160313
Upper Sorbian	0.0	0.010599705248837993	-0.006844462079129393	-0.00834655934701281	0.0024373653780750126	0.010599705248837993
West Flemish	0.0	0.009288225479680709	-0.00393278512692169	0.001013830684719802	0.010503235176172604	0.010503235176172604
Walloon	0.0	0.009075169528206695	-0.004638580291444205	0.0010830718622938107	0.010396369462189886	0.010396369462189886
Venetian	0.0	0.009032776701867307	-0.004655241714473596	0.001038682171181915	0.010393082393348907	0.010393082393348907
Volapük	0.0	0.010372826978362198	-0.003640853257392093	-0.0016122595401212997	0.009400519609497504	0.010372826978362198
Maltese	0.0	0.004020582736312617	-0.010341004980227997	-0.0027465709227486035	0.0013071030295008224	0.010341004980227997
Haitian Creole	0.0	0.0021278804235001086	-0.010224205937305289	-0.007784928378658892	-0.005501349387585591	0.010224205937305289
Romansh	0.0	0.008819373385957202	-0.003386444476928402	0.0014866793457788963	0.010214744979857901	0.010214744979857901
Sicilian	0.0	0.008713230682966797	-0.0047218184903461	0.001122298082913989	0.010056929925912408	0.010056929925912408
Ligurian	0.0	0.008751845268580694	-0.004149971379507705	0.0010025591158348973	0.010018082083952898	0.010018082083952898
Piedmontese	0.0	0.008760951188986288	-0.004627212587162505	0.0010094332376917037	0.00999215437283299	0.00999215437283299
Southern Luri	0.0	0.0	-0.009948019358308	0.0	8.962179602069881e-05	0.009948019358308
Friulian	0.0	0.008643803881356604	-0.0038813565758991087	0.001026212257430395	0.009935930154341993	0.009935930154341993
Gorontalo	0.0	0.002197302621609401	-0.009887861797242	0.00026519169571150025	0.002765570540991101	0.009887861797242
Noongar	0.0	0.0096324461343473	-0.005069708491761693	0.001520912547528605	0.009885931558935399	0.009885931558935399
Neapolitan	0.0	0.008622464149303594	-0.003949103827886102	0.0009766334034475022	0.0098736204734646	0.0098736204734646
Swahili	0.0	0.008923172338940993	-0.008333979378246398	0.0006600304639098054	0.009854612947687497	0.009854612947687497
Bishnupriya Manipuri	0.0	0.0	-0.009740259740259716	0.0	0.0	0.009740259740259716
Kurdish	0.0	0.0019018360032184989	-0.009728622631848496	-0.001170360617365293	0.0007314753858532058	0.009728622631848496
Sardinian	0.0	0.008360317105850806	-0.0038940375167485913	0.0010475066069660088	0.009707962310235504	0.009707962310235504
Hawaiian	0.0	-0.0022427700177060986	-0.006098760574463898	-0.009639976391894498	-0.0088923863859925	0.009639976391894498
Igbo	0.0	0.002506358040617704	-0.009398842652316598	-0.00018429103239839956	0.0023957834211787016	0.009398842652316598
Malagasy	0.0	0.008695915876301086	-0.006982509609479909	0.00038009312001568984	0.009364171967627594	0.009364171967627594
Lingala	0.0	0.00011881658679550183	-0.009307299298982101	0.00019802764465919748	0.00027723870252290006	0.009307299298982101
Lower Sorbian	0.0	0.004218284459777399	-0.007621138466363503	-0.009283362082483898	-0.004782813235063493	0.009283362082483898
