language_code	type	count	language
krj	ORG	2195	Kinaray-a
krj	PER	24714	Kinaray-a
krl	LOC	8	Karelian
krl	ORG	101	Karelian
krl	PER	687	Karelian
ks	LOC	140	Kashmiri
ks	ORG	102	Kashmiri
ks	PER	166	Kashmiri
ksh	LOC	1355	Ripuarian
ksh	ORG	2177	Ripuarian
ksh	PER	31711	Ripuarian
ku	LOC	29109	Kurdish
ku	ORG	13922	Kurdish
ku	PER	56183	Kurdish
kum	PER	1	Kumyk
kv	LOC	1235	Komi
kv	ORG	349	Komi
kv	PER	191	Komi
kw	LOC	3032	Cornish
kw	ORG	2136	Cornish
kw	PER	27571	Cornish
ky	LOC	25037	Kyrgyz
ky	ORG	16381	Kyrgyz
ky	PER	3517	Kyrgyz
la	LOC	66115	Latin
la	ORG	58706	Latin
la	PER	73297	Latin
lad	LOC	3350	Judaeo-Spanish
lad	ORG	2944	Judaeo-Spanish
lad	PER	29616	Judaeo-Spanish
lb	LOC	100042	Luxembourgish
lb	ORG	63717	Luxembourgish
lb	PER	215616	Luxembourgish
lbe	LOC	321	Lak
lbe	ORG	82	Lak
lbe	PER	55	Lak
lez	LOC	1738	Lezgian
lez	ORG	527	Lezgian
lez	PER	855	Lezgian
lfn	LOC	1215	Lingua Franca Nova
lfn	ORG	1538	Lingua Franca Nova
lfn	PER	38317	Lingua Franca Nova
lg	LOC	797	Luganda
lg	ORG	1074	Luganda
lg	PER	25686	Luganda
li	LOC	72127	Limburgish
li	ORG	53067	Limburgish
li	PER	161613	Limburgish
lij	LOC	72266	Ligurian
lij	ORG	53949	Ligurian
lij	PER	141471	Ligurian
liv	LOC	223	Livonian
liv	ORG	279	Livonian
liv	PER	1941	Livonian
lki	LOC	3	Laki
lki	ORG	28	Laki
lki	PER	1190	Laki
lld	LOC	421	Ladin
lld	ORG	346	Ladin
lld	PER	338	Ladin
lmo	LOC	25339	Lombard
lmo	ORG	24430	Lombard
lmo	PER	63656	Lombard
ln	LOC	1327	Lingala
ln	ORG	1827	Lingala
ln	PER	26928	Lingala
lo	LOC	512	Lao
lo	ORG	355	Lao
lo	PER	541	Lao
loz	LOC	177	Lozi
loz	ORG	671	Lozi
loz	PER	24583	Lozi
lrc	LOC	929	Northern Luri
lrc	ORG	596	Northern Luri
lrc	PER	242	Northern Luri
lt	LOC	104841	Lithuanian
lt	ORG	67105	Lithuanian
lt	PER	191088	Lithuanian
ltg	LOC	803	Latgalian
ltg	ORG	1086	Latgalian
ltg	PER	26150	Latgalian
lus	LOC	177	Mizo
lus	ORG	671	Mizo
lus	PER	24573	Mizo
luz	PER	1	Southern Luri
lv	LOC	72763	Latvian
lv	ORG	55994	Latvian
lv	PER	98043	Latvian
lzh	LOC	2420	Classical Chinese
lzh	ORG	2110	Classical Chinese
lzh	PER	415757	Classical Chinese
lzz	LOC	178	Laz
lzz	ORG	641	Laz
lzz	PER	24532	Laz
mad	LOC	216	Madurese
mad	ORG	158	Madurese
mad	PER	2245	Madurese
mai	LOC	4457	Maithili
mai	ORG	925	Maithili
mai	PER	3973	Maithili
map	LOC	11779	map
map	ORG	2660	map
map	PER	78945	map
mcn	ORG	2	mcn
mcn	PER	2	mcn
mdf	LOC	268	Moksha
mdf	ORG	127	Moksha
mdf	PER	129	Moksha
mg	LOC	106308	Malagasy
mg	ORG	68420	Malagasy
mg	PER	140679	Malagasy
mh	LOC	256	Marshallese
mh	ORG	887	Marshallese
mh	PER	23974	Marshallese
mhr	LOC	2078	Meadow Mari
mhr	ORG	543	Meadow Mari
mhr	PER	837	Meadow Mari
mi	LOC	6817	Māori
mi	ORG	3375	Māori
mi	PER	41628	Māori
min	LOC	97359	Minangkabau
min	ORG	65539	Minangkabau
min	PER	166010	Minangkabau
mk	LOC	27220	Macedonian
mk	ORG	15922	Macedonian
mk	PER	20348	Macedonian
ml	LOC	38563	Malayalam
ml	ORG	24648	Malayalam
ml	PER	30341	Malayalam
mn	LOC	3475	Mongolian
mn	ORG	1849	Mongolian
mn	PER	6695	Mongolian
mni	LOC	552	Meitei
mni	ORG	450	Meitei
mni	PER	567	Meitei
mnw	LOC	46	Mon
mnw	ORG	47	Mon
mnw	PER	56	Mon
mo	LOC	868	Moldovan
mo	ORG	858	Moldovan
mo	PER	23484	Moldovan
mr	LOC	16987	Marathi
mr	ORG	8437	Marathi
mr	PER	15928	Marathi
mrj	LOC	2675	Hill Mari
mrj	ORG	735	Hill Mari
mrj	PER	306	Hill Mari
ms	LOC	272242	Malay
ms	ORG	118229	Malay
ms	PER	155371	Malay
mt	LOC	1796	Maltese
mt	ORG	3032	Maltese
mt	PER	63274	Maltese
mus	LOC	409	Muscogee
mus	ORG	986	Muscogee
mus	PER	27488	Muscogee
mwl	LOC	2159	Mirandese
mwl	ORG	2012	Mirandese
mwl	PER	30497	Mirandese
my	LOC	3461	Burmese
my	ORG	2675	Burmese
my	PER	3195	Burmese
myv	LOC	2541	Erzya
myv	ORG	411	Erzya
myv	PER	669	Erzya
mzn	LOC	5031	Mazanderani
mzn	ORG	2033	Mazanderani
mzn	PER	2379	Mazanderani
na	LOC	2966	Nauruan
na	ORG	3041	Nauruan
na	PER	26426	Nauruan
nah	LOC	4865	Nahuatl
nah	ORG	4414	Nahuatl
nah	PER	28529	Nahuatl
nan	LOC	352107	Southern Min
nan	ORG	111566	Southern Min
nan	PER	9120	Southern Min
nap	LOC	76414	Neapolitan
nap	ORG	58516	Neapolitan
nap	PER	139819	Neapolitan
nb	LOC	298898	Bokmål
nb	ORG	178435	Bokmål
nb	PER	1357063	Bokmål
nds	LOC	174161	Low German
nds	ORG	109901	Low German
nds	PER	480227	Low German
ne	LOC	7042	Nepali
ne	ORG	3520	Nepali
ne	PER	6911	Nepali
new	LOC	14811	Newar
new	ORG	4596	Newar
new	PER	935	Newar
ng	LOC	263	Ndonga
ng	ORG	866	Ndonga
ng	PER	26006	Ndonga
nia	LOC	81	Nias
nia	ORG	40	Nias
nia	PER	19	Nias
niu	LOC	5	Niuean
niu	ORG	121	Niuean
niu	PER	675	Niuean
nl	LOC	1014937	Dutch
nl	ORG	629020	Dutch
nl	PER	8107797	Dutch
nn	LOC	232518	Nynorsk
nn	ORG	95202	Nynorsk
nn	PER	910330	Nynorsk
no	LOC	2	Norwegian
no	ORG	15	Norwegian
no	PER	24	Norwegian
nod	LOC	7	Northern Thai
nod	ORG	4	Northern Thai
nod	PER	8	Northern Thai
nov	LOC	1622	Novial
nov	ORG	1853	Novial
nov	PER	27683	Novial
nqo	LOC	599	N'Ko
nqo	ORG	322	N'Ko
nqo	PER	367	N'Ko
nrm	LOC	79028	Norman
nrm	ORG	51324	Norman
nrm	PER	117660	Norman
nso	LOC	2507	Northern Sotho
nso	ORG	1360	Northern Sotho
nso	PER	26164	Northern Sotho
nv	LOC	2902	Navajo
nv	ORG	2340	Navajo
nv	PER	26171	Navajo
ny	LOC	1983	Chewa
ny	ORG	1041	Chewa
ny	PER	26279	Chewa
nys	LOC	70	Noongar
nys	ORG	749	Noongar
nys	PER	5171	Noongar
oc	LOC	181929	Occitan
oc	ORG	78041	Occitan
oc	PER	178080	Occitan
om	LOC	2312	Oromo
om	ORG	2598	Oromo
om	PER	26046	Oromo
or	LOC	3672	Odia
or	ORG	1296	Odia
or	PER	10077	Odia
os	LOC	4906	Ossetian
os	ORG	1629	Ossetian
os	PER	906	Ossetian
ota	LOC	5	Ottoman Turkish
ota	ORG	4	Ottoman Turkish
ota	PER	32	Ottoman Turkish
pa	LOC	4188	Punjabi
pa	ORG	2987	Punjabi
pa	PER	11558	Punjabi
pag	LOC	2231	Pangasinan
pag	ORG	2602	Pangasinan
pag	PER	26548	Pangasinan
pam	LOC	5859	Kapampangan
pam	ORG	5141	Kapampangan
pam	PER	28763	Kapampangan
pap	LOC	53548	Papiamento
pap	ORG	40475	Papiamento
pap	PER	899720	Papiamento
pcd	LOC	68708	Picard
pcd	ORG	50778	Picard
pcd	PER	144670	Picard
pdc	LOC	1257	Pennsylvania German
pdc	ORG	1740	Pennsylvania German
pdc	PER	33379	Pennsylvania German
pdt	LOC	330	Plautdietsch
pdt	ORG	798	Plautdietsch
pdt	PER	27357	Plautdietsch
pfl	LOC	2520	Palatinate German
pfl	ORG	3158	Palatinate German
pfl	PER	58150	Palatinate German
pi	LOC	724	Pali
pi	ORG	293	Pali
pi	PER	23	Pali
pih	LOC	911	Pitkern
pih	ORG	1296	Pitkern
