count,language_code,type
1848,ps,PER
1829,my,ORG
1813,mt,ORG
1804,hil,LOC
1785,mwl,LOC
1768,zh-mo,LOC
1758,eml,LOC
1747,am,LOC
1738,ary,LOC
1732,kk-cyrl,PER
1705,hrx,PER
1689,cps,LOC
1688,bto,LOC
1687,sdc,LOC
1684,lez,LOC
1638,km,LOC
1619,vro,LOC
1616,kk-arab,PER
1592,bbc,LOC
1589,nov,LOC
1573,gn,LOC
1547,liv,PER
1525,so,LOC
1523,ckb,ORG
1501,ht,ORG
1498,gom-latn,PER
1483,sd,LOC
1479,hyw,LOC
1468,mhr,LOC
1462,kab,ORG
1462,am,PER
1447,bbc-latn,PER
1446,aeb-latn,PER
1428,tk,LOC
1417,kk-kz,PER
1406,ku,ORG
1396,jam,ORG
1395,hsb,ORG
1381,ak,LOC
1363,sd,PER
1357,hil,PER
1348,eml,ORG
1347,ug,LOC
1347,kk-latn,ORG
1344,ext,LOC
1334,war,ORG
1331,pap,ORG
1315,yo,ORG
1297,udm,LOC
1297,ksh,ORG
1293,bm,ORG
1292,so,ORG
1281,qu,ORG
1276,mt,LOC
1275,lad,ORG
1274,vmf,ORG
1268,ruq,PER
1267,na,LOC
1249,smn,LOC
1242,ilo,ORG
1240,pdc,LOC
1232,kaa,LOC
1223,frr,ORG
1217,mi,ORG
1213,gag,LOC
1212,bcl,ORG
1205,jut,PER
1191,sah,PER
1191,mwl,ORG
1180,tpi,LOC
1177,ang,ORG
1170,szl,ORG
1166,sgs,ORG
1162,hif,ORG
1153,olo,LOC
1152,dty,PER
1145,avk,PER
1142,pam,ORG
1136,zea,ORG
1133,lfn,LOC
1128,dsb,ORG
1127,ksh,LOC
1113,nah,ORG
1103,ext,ORG
1100,fit,ORG
1097,vep,ORG
1093,stq,ORG
1092,prg,ORG
1084,avk,LOC
1081,pdc,ORG
1080,new,PER
1065,bi,LOC
1059,ky,ORG
1059,csb,ORG
1055,gn,ORG
1052,ig,ORG
1050,sma,LOC
1042,grc,PER
1040,sn,LOC
1028,kaa,ORG
1008,zh-mo,ORG
1005,hak,ORG
1001,bo,LOC
998,lez,PER
997,gv,ORG
993,ln,ORG
993,crh-latn,ORG
989,kk-cn,PER
984,ku-latn,ORG
980,ln,LOC
974,shn,LOC
967,bo,PER
966,mn,ORG
965,ay,ORG
962,zh-my,ORG
961,pfl,ORG
949,tg,ORG
943,tyv,PER
938,tet,ORG
937,haw,ORG
936,ku-arab,PER
936,dty,LOC
935,xh,ORG
934,fkv,LOC
928,kw,ORG
926,cdo,ORG
924,tk,ORG
918,rw,ORG
918,glk,LOC
916,ha,ORG
914,na,ORG
913,sn,ORG
909,map-bms,ORG
908,tum,LOC
908,fj,ORG
908,bi,ORG
907,tpi,ORG
906,lrc,LOC
902,nov,ORG
901,cbk-zam,ORG
900,ki,ORG
899,pnt,PER
899,aa,ORG
898,ff,ORG
896,st,LOC
894,si,ORG
893,chy,ORG
890,tn,ORG
888,ch,ORG
886,pag,ORG
884,tg-latn,ORG
883,ik,ORG
882,nv,ORG
881,pih,LOC
881,lfn,ORG
881,cho,ORG
880,ig,LOC
880,hz,ORG
880,ho,ORG
879,sm,ORG
876,srn,ORG
874,st,ORG
874,hif-latn,ORG
871,jbo,ORG
869,pih,ORG
868,ak,ORG
867,ts,ORG
866,os,PER
865,nso,ORG
858,ve,ORG
856,srn,LOC
852,to,ORG
851,sg,ORG
850,rn,ORG
850,kr,ORG
849,mus,ORG
848,tum,ORG
847,mo,LOC
847,gag,ORG
846,km,PER
845,lg,ORG
845,kj,ORG
841,yi,ORG
840,za,LOC
840,ike-latn,ORG
837,ltg,ORG
831,tn,LOC
827,za,ORG
823,lki,PER
823,cr,ORG
821,tt-latn,ORG
820,pi,LOC
818,roa-tara,ORG
818,kk-tr,ORG
816,rmy,ORG
814,ltg,LOC
813,tt-cyrl,PER
807,ug-latn,ORG
806,ch,LOC
804,om,ORG
803,sma,ORG
803,shi-latn,ORG
803,ruq-latn,ORG
800,bxr,LOC
791,smn,PER
788,ny,ORG
787,ss,ORG
786,bjn,ORG
785,tw,ORG
777,lg,LOC
777,gu,ORG
777,atj,PER
776,rue,PER
774,rmy,LOC
767,mh,ORG
761,hyw,ORG
759,sat,ORG
756,lo,ORG
753,xal,LOC
749,ng,ORG
748,koi,LOC
744,tw,LOC
739,rn,LOC
734,mhr,PER
733,simple,LOC
731,ug,PER
728,om,LOC
727,xh,LOC
716,cv,ORG
710,sms,PER
706,smj,LOC
703,as,LOC
700,lzh,ORG
700,fj,LOC
698,rup,ORG
697,or,ORG
690,ee,ORG
688,got,ORG
685,vot,ORG
682,gan,PER
681,nys,ORG
673,pdt,ORG
672,dtp,ORG
672,arn,ORG
669,kbp,PER
669,chy,LOC
669,av,LOC
663,jbo,LOC
650,to,LOC
650,mo,ORG
639,ik,LOC
638,ban,PER
635,sli,ORG
635,sdc,ORG
635,aln,ORG
631,ts,LOC
631,qug,ORG
631,krj,ORG
630,rif,ORG
624,got,LOC
623,szy,PER
623,frc,ORG
622,shi,PER
619,ve,LOC
614,sei,ORG
613,sg,LOC
611,ike-cans,PER
610,kv,LOC
608,sah,ORG
604,ff,LOC
600,as,ORG
598,rgn,ORG
597,cu,ORG
592,dv,LOC
590,sju,PER
590,rmf,PER
590,lus,ORG
590,loz,ORG
586,fit,LOC
582,iu,ORG
579,chr,ORG
575,gom,PER
572,brh,ORG
566,tru,ORG
566,lzz,ORG
552,atj,LOC
547,tcy,PER
543,lo,LOC
540,kk-cyrl,ORG
538,ee,LOC
513,kbp,LOC
510,kbd,LOC
503,kk-arab,ORG
502,nqo,LOC
502,crh,PER
493,ss,LOC
492,srq,PER
488,bxr,PER
485,tt-latn,LOC
482,mrj,PER
477,xmf,ORG
468,es-419,PER
467,sms,LOC
463,arq,PER
461,udm,PER
458,ps,ORG
452,sd,ORG
449,mai,ORG
437,dv,PER
431,gcr,LOC
426,arn,LOC
425,ary,ORG
425,arc,LOC
424,aa,LOC
423,ce,ORG
420,hz,LOC
419,ho,LOC
419,din,PER
418,cr,LOC
418,cho,LOC
415,tt-cyrl,LOC
414,cu,LOC
403,kr,LOC
402,mus,LOC
397,iu,LOC
391,bho,ORG
388,no,PER
386,tg-cyrl,LOC
386,gan-hans,PER
386,ab,PER
380,tt-cyrl,ORG
380,lrc,PER
378,gan-hant,PER
376,sa,ORG
367,gom,LOC
367,chr,LOC
361,kri,PER
359,am,ORG
354,kea,PER
353,kbd,PER
352,kv,PER
348,km,ORG
346,ug-latn,LOC
344,glk,PER
341,vot,LOC
340,av,PER
339,ike-latn,LOC
337,cps,PER
335,krl,PER
334,bto,PER
326,sjd,PER
324,niu,PER
322,hif-latn,LOC
322,ab,LOC
321,pdt,LOC
319,smn,ORG
317,vro,ORG
312,arc,PER
310,kj,LOC
308,shi-latn,LOC
308,ruq-latn,LOC
308,bpy,PER
299,ks,PER
296,sms,ORG
292,mzn,ORG
292,lld,LOC
289,tg-cyrl,PER
289,lbe,LOC
284,bbc,PER
280,gom-latn,LOC
280,egl,ORG
278,koi,PER
277,awa,PER
275,mdf,PER
275,aln,LOC
272,krc,LOC
271,ady,LOC
264,brh,LOC
263,nqo,PER
263,inh,LOC
261,ng,LOC
258,xal,PER
255,qug,LOC
253,kk-kz,ORG
251,ug,ORG
251,mh,LOC
247,pi,ORG
246,olo,ORG
246,awa,LOC
244,mdf,LOC
240,krc,PER
239,smj,ORG
237,ug-arab,PER
233,kk-cn,ORG
231,szy,LOC
227,lbe,PER
227,als,LOC
227,aeb-arab,LOC
225,myv,ORG
221,liv,LOC
219,pnt,LOC
218,inh,PER
215,shn,PER
205,gor,ORG
204,gom-deva,LOC
203,ota,PER
202,ku-arab,ORG
202,dty,ORG
198,lrc,ORG
197,dz,PER
194,ko-kp,PER
194,gan,ORG
193,gom-deva,PER
192,dtp,LOC
190,bqi,PER
189,ruq-cyrl,PER
189,kiu,PER
189,bcc,PER
189,ady,PER
186,rue,ORG
185,sei,LOC
184,crh-cyrl,PER
184,bug,ORG
183,hrx,ORG
182,tly,PER
182,anp,PER
179,sli,LOC
179,khw,PER
178,ks-deva,PER
178,ii,PER
177,shi-tfng,PER
177,ks-arab,PER
177,kbd-cyrl,PER
177,grc,LOC
175,rif,LOC
173,lus,LOC
173,loz,LOC
173,ban,ORG
172,tru,LOC
172,lzz,LOC
172,es-419,ORG
171,tcy,LOC
170,tyv,LOC
170,nod,PER
166,din,LOC
165,ses,PER
165,liv,ORG
163,aeb,PER
162,rwr,PER
162,new,ORG
158,gan-hant,LOC
154,os,ORG
153,gom-latn,ORG
151,sdh,PER
151,lld,PER
151,bgn,PER
151,ady-cyrl,PER
150,crh,ORG
149,simple,ORG
148,arc,ORG
147,tay,LOC
145,dz,LOC
144,bbc-latn,ORG
143,aeb-latn,ORG
139,udm,ORG
139,mhr,ORG
134,nqo,ORG
132,hil,ORG
131,ruq,LOC
131,kbp,ORG
131,dag,PER
130,als,PER
126,gcr,PER
114,ti,LOC
110,bgn,LOC
106,arq,LOC
105,sje,LOC
100,sje,ORG
99,bo,ORG
99,avk,ORG
97,kri,LOC
97,jut,LOC
95,ks,LOC
94,atj,ORG
92,lez,ORG
92,dv,ORG
89,cps,ORG
88,jut,ORG
87,niu,ORG
86,kv,ORG
86,kri,ORG
86,bxr,ORG
85,tg-cyrl,ORG
84,gan-hans,ORG
83,krc,ORG
83,av,ORG
82,din,ORG
81,aeb-latn,LOC
80,hrx,LOC
78,bbc-latn,LOC
77,tyv,ORG
77,kea,ORG
77,glk,ORG
69,tcy,ORG
67,gan-hant,ORG
66,srq,ORG
66,krl,ORG
66,bto,ORG
66,bbc,ORG
65,nys,LOC
64,mad,LOC
62,kea,LOC
62,ab,ORG
60,bpy,ORG
55,mnw,PER
53,xsy,LOC
52,ike-cans,LOC
51,lbe,ORG
50,shn,ORG
50,rmf,LOC
49,egl,LOC
48,sju,LOC
47,es-419,LOC
46,pnt,ORG
46,grc,ORG
45,shi,ORG
45,mrj,ORG
45,gom,ORG
44,shi,LOC
42,mdf,ORG
42,inh,ORG
41,mnw,LOC
41,kbd,ORG
39,ruq,ORG
39,ike-cans,ORG
37,dz,ORG
36,sjd,LOC
36,es-formal,PER
34,awa,ORG
33,ti,PER
33,rmf,ORG
33,ks,ORG
