lang_code	language	comment	orthography	is_subtag	en_wikipedia_link	wikidata_url
cr	Cree	Also Cree syllabics	Latin	FALSE	https://en.wikipedia.org/wiki/Cree_language	http://www.wikidata.org/entity/Q33390
crh	Crimean Tatar		Cyrillic, Latin	FALSE	https://en.wikipedia.org/wiki/Crimean_Tatar_language	http://www.wikidata.org/entity/Q33357
crh-cyrl	Crimean Tatar in Cyrillic		Cyrillic	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107557467
crh-latn	Crimean Tatar in Latin script		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107557485
crl	Northern East Cree		Latin	FALSE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q12642195
crs	Seychellois Creole		Latin	FALSE	https://en.wikipedia.org/wiki/Seychellois_Creole	http://www.wikidata.org/entity/Q34015
cs	Czech		Latin	FALSE	https://en.wikipedia.org/wiki/Czech_language	http://www.wikidata.org/entity/Q9056
csb	Kashubian		Latin	FALSE	https://en.wikipedia.org/wiki/Kashubian_language	http://www.wikidata.org/entity/Q33690
ctg	Chittagonian		Bengali	FALSE	https://en.wikipedia.org/wiki/Chittagonian_language	http://www.wikidata.org/entity/Q33173
cu	Church Slavonic		Cyrillic	FALSE	https://en.wikipedia.org/wiki/Church_Slavonic	http://www.wikidata.org/entity/Q33251
cu	Old Church Slavonic		Cyrillic	FALSE	https://en.wikipedia.org/wiki/Old_Church_Slavonic	http://www.wikidata.org/entity/Q35499
cu	Slavonic musical notation		Cyrillic	FALSE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q108519491
cu	Slavonic documents		Cyrillic	FALSE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q110088676
cv	Chuvash		Cyrillic	FALSE	https://en.wikipedia.org/wiki/Chuvash_language	http://www.wikidata.org/entity/Q33348
