lang_code	language	orthography	observed_scripts	keep_these_scripts	is_subtag
ka	მთავარი გვერდი	Georgian	Common,Georgian,Latin	Georgian	FALSE
kaa	Karakalpak	Cyrillic, Latin	Common,Latin	Cyrillic, Latin	FALSE
kab	Kabyle	Tifinagh,Latin	Common,Latin	Tifinagh,Latin	FALSE
kae	Ketagalan	Latin			FALSE
kbd	Kabardian	Cyrillic	Cyrillic	Cyrillic	FALSE
kbd-cyrl	Kabardian in Cyrillic script	Cyrillic	Latin	Cyrillic	TRUE
kbg	Khamba	Latin			FALSE
kbp	Kabiye	Latin	Common,Latin	Latin	FALSE
kcg	Tyap	Latin	Latin	Latin	FALSE
kea	Cape Verdean Creole	Latin	Common,Latin	Latin	FALSE
kg	Kongo	Latin	Common,Latin	Latin	FALSE
kha	Khasi	Latin			FALSE
khg	Khams Tibetan	Tibetan			FALSE
khw	Khowar	Arabic	Arabic	Arabic	FALSE
ki	Gikuyu	Latin	Common,Latin	Latin	FALSE
kiu	Kirmanjki	Latin	Common,Latin	Latin	FALSE
kj	Kwanyama	Latin	Common,Latin	Latin	FALSE
kjh	Khakas	Latin			FALSE
kjp	Eastern Pwo	Burmese	Myanmar	Myanmar	FALSE
kk	Kazakh	Cyrillic, Latin	Common,Cyrillic	Cyrillic	FALSE
kk-arab	Kazakh in Arabic script	Arabic	Arabic	Arabic	TRUE
kk-cn	Kazakh in China	Arabic	Arabic	Arabic	TRUE
kk-cyrl	Kazakh in Cyrillic script	Cyrillic	Cyrillic	Cyrillic	TRUE
kk-kz	Kazakh in Kazakhstan	Cyrillic, Latin	Cyrillic	Cyrillic, Latin	TRUE
kk-latn	Kazakh in Latin script	Latin	Common,Latin	Latin	TRUE
kk-tr	Kazakh in Turkey	Cyrillic	Common,Latin	Latin	TRUE
kl	Greenlandic	Latin	Common,Latin	Latin	FALSE
km	Khmer	Khmer	Common,Khmer	Khmer	FALSE
kn	Kannada	Kannada	Kannada	Kannada	FALSE
ko	Korean	Korean	Common,Hangul,Latin	Hangul	FALSE
ko-kp	North Korean standard language	Korean	Common,Hangul	Hangul	TRUE
ko-kr	South Korean standard language	Korean			TRUE
koi	Permyak	Cyrillic	Cyrillic	Cyrillic	FALSE
koy	Koyukon	Latin			FALSE
kr	Kanuri	Arabic, Latin	Common,Latin	Arabic, Latin	FALSE
krc	Karachay-Balkar	Cyrillic	Cyrillic	Cyrillic	FALSE
kri	Krio	Latin	Common,Latin	Latin	FALSE
krj	Kinaray-a	Latin	Common,Latin	Latin	FALSE
krl	Karelian	Cyrillic, Latin	Common,Latin	Cyrillic, Latin	FALSE
krx	Karon	Latin			FALSE
ks	Kashmiri	Arabic,Devanagari	Arabic,Devanagari	Arabic,Devanagari	FALSE
