count,language,type
49,egl,LOC
48,sju,LOC
47,es-419,LOC
44,shi,LOC
41,mnw,LOC
36,sjd,LOC
36,es-formal,PER
33,ti,PER
32,ug-arab,LOC
31,skr,LOC
31,kjp,LOC
29,tay,PER
26,ii,LOC
24,skr,PER
18,shy-latn,PER
16,ko-kp,LOC
14,no,LOC
13,mni,LOC
12,mni,PER
11,de-formal,PER
9,nod,LOC
8,ota,LOC
7,crh-cyrl,LOC
6,sty,PER
6,nl-informal,PER
6,kjp,PER
5,uz-latn,PER
5,tzm,LOC
5,niu,LOC
5,krl,LOC
5,de-formal,LOC
5,bqi,LOC
5,anp,LOC
4,zgh,PER
4,tzm,PER
4,srq,LOC
4,ks-deva,LOC
4,khw,LOC
4,bcc,LOC
4,aeb,LOC
3,zgh,LOC
3,tly,LOC
3,skr-arab,PER
3,shy-latn,LOC
3,shi-tfng,LOC
3,ruq-cyrl,LOC
3,ks-arab,LOC
3,kiu,LOC
3,kbd-cyrl,LOC
3,abs,PER
2,ses,LOC
2,sdh,LOC
2,rwr,LOC
2,luz,LOC
2,lki,LOC
2,kum,PER
2,hu-formal,PER
2,fkv,PER
2,dag,LOC
2,btm,PER
2,ami,LOC
2,ady-cyrl,LOC
1,uz-latn,LOC
1,uz-cyrl,PER
1,uz-cyrl,LOC
1,trv,LOC
1,nia,PER
1,es-formal,LOC
