lang_code	observed_scripts	language	orthography	is_subtag
mdf	Cyrillic	Moksha	Cyrillic	False
mfe		Mauritian Creole	Latin	False
mg	Common,Latin	Malagasy	Latin	False
mh	Common,Latin	Marshallese	Latin	False
mhr	Cyrillic	Meadow Mari	Cyrillic	False
mi	Common,Latin	Māori	Latin	False
mic		Mi'kmaq	Latin	False
min	Common,Latin	Minangkabau	Latin	False
mis		language without a specific language code	Latin	False
mis-x-Q2417210		Old Swedish	Latin	True
mk	Common,Cyrillic	Macedonian	Cyrillic	False
ml	Common,Malayalam	Malayalam	Malayalam	False
mn	Common,Cyrillic,Latin,Mongolian	Mongolian	Cyrillic, Arabic, Mongolian	False
mnc		Manchu	Manchu	False
mni	Meetei_Mayek	Meitei	Meitei, Bengali	False
mnw	Myanmar	Mon	Burmese	False
mo	Common,Latin	Moldovan	Latin, Cyrillic	False
moe		Innu-aimun	Latin	False
mr	Devanagari	Marathi	Devanagari	False
mrh		Mara	Latin	False
mrj	Cyrillic	Hill Mari	Cyrillic	False
ms	Common,Latin	Malay	Latin	False
ms-arab	Arabic	Malay in Jawi script	Arabic	True
mt	Common,Latin	Maltese	Latin	False
mui		Musi	Latin	False
mul		multiple languages	Latin	False
mus	Common,Latin	Muscogee	Latin	False
mwl	Common,Latin	Mirandese	Latin	False
mwv		Mentawai	Latin	False
my	Myanmar	Burmese	Burmese	False
myv	Cyrillic	Erzya	Cyrillic	False
mzn	Arabic	Mazanderani	Arabic	False
na	Common,Latin	Nauruan	Latin	False
nah	Common,Latin	Nahuatl	Latin	False
	Common,Latin	Southern Min	CJK	False
nan-hani	Han	nan-hani	Latin	True
nap	Common,Latin	Neapolitan	Latin	False
nb	Common,Latin	Bokmål	Latin	False
nds	Common,Latin	Low German	Latin	False
nds-nl	Common,Latin	Dutch Low Saxon	Latin	True
ne	Devanagari	Nepali	Devanagari	False
new	Devanagari	Newar	Devanagari	False
ng	Common,Latin	Ndonga	Latin	False
nia	Latin	Nias	Latin	False
niu	Common,Latin	Niuean	Latin	False
nl	Common,Latin	Dutch	Latin	False
nl-be		Belgian Dutch	Latin	True
nl-informal	Latin	informal Dutch	Latin	True
nn	Common,Latin	Nynorsk	Latin	False
nn-hognorsk		Høgnorsk	Latin	True
no	Latin	Norwegian Wikipedias	Latin	False
no	Latin	Norwegian	Latin	False
nod	Tai_Tham,Thai	Northern Thai	Thai, Tai Tham	False
nog		Nogai	Cyrillic	False
non		Old Norse	Latin	False
nov	Common,Latin	Novial	Latin	False
nqo	Nko	N'Ko	NKo	False
nr		Southern Ndebele	Latin	False
nrf-gg		Guernésiais	Latin	True
nrf-je		Jèrriais	Latin	True
nrm	Common,Latin	Norman	Latin	False
nsk		Naskapi	Latin	False
nso	Common,Latin	Northern Sotho	Latin	False
nui		Kombe	Latin	False
nv	Common,Latin	Navajo	Latin	False
nxm		Numidian	Tifinagh	False
ny	Common,Latin	Chewa	LatIn	False
nys	Common,Latin	Noongar	Latin	False
oc	Common,Latin	Occitan	Latin	False
oj		Ojibwe	Latin	False
olo	Common,Latin	Livvi-Karelian	Cyrillic	False
om	Common,Latin	Oromo	Latin	False
ood		O'odham	Latin	False
or	Oriya	Odia	Odia	False
os	Cyrillic	Ossetian	Cyrillic	False
osa		Osage	Latin	False
osa-latn		Osage in Latin script	Latin	True
ota	Arabic,Common,Latin	Ottoman Turkish	Arabic	False
otk		Old Turkic	Arabic	False
ovd		Elfdalian	Latin	False
pa	Arabic,Common,Gurmukhi	Eastern Punjabi	Arabic, Gurmukhi, Devanagari	False
pa	Arabic,Common,Gurmukhi	Punjabi	Arabic, Gurmukhi, Devanagari	False
pag	Common,Latin	Pangasinan	Latin	False
pam	Common,Latin	Kapampangan	Latin	False
pap	Common,Latin	Papiamento	Latin	False
pcd	Common,Latin	Picard	Latin	False
pdc	Common,Latin	Pennsylvania German	Latin	False
pdt	Common,Latin	Plautdietsch	Latin	False
peo		Old Persian	Latin	False
pfl	Common,Latin	Palatinate German	Latin	False
pi	Devanagari,Latin	Pali	Brahmi	False
pih	Common,Latin	Pitkern	Latin	False
pis		Pijin	Latin	False
pjt		Pitjantjatjara	Latin	False
pko		Pökoot	Latin	False
pl	Common,Latin	Polish	Latin	False
pms	Common,Latin	Piedmontese	Latin	False
pmy		Papuan Malay	Latin	False
pnb	Arabic,Common	Punjabi	Arabic, Gurmukhi, Devanagari	False
pnb	Arabic,Common	Western Punjabi	Arabic, Gurmukhi, Devanagari	False
pnt	Common,Greek	Pontic Greek	Greek	False
ppu		Papora-Hoanya	Latin	False
prg	Common,Latin	Old Prussian	Latin	False
ps	Arabic	Pashto	Arabic	False
pt	Common,Latin	Portuguese	Latin	False
pt-ao1990		Portuguese Language Orthographic Agreement of 1990	Latin	True
pt-br	Common,Latin	Brazilian Portuguese	Latin	True
pwn	Latin	Paiwan	Latin	False
pwn	Latin	katadrengan	Latin	False
pyu		Puyuma	Latin	False
qu	Common,Latin	Quechua	Latin	False
quc	Latin	K’iche’	Latin	False
qug	Common,Latin	Kichwa	Latin	False
qya		Quenya	Latin	False
rar		Cook Islands Maori	Latin	False
rcf		Réunion Creole	Latin	False
rgn	Common,Latin	Romagnol	Latin	False
rif	Common,Latin	Tarifit	Latin	False
rki		Arakanese	Burmese	False
rkt		Rangpuri	Bengali, Devanagari	False
rm	Common,Latin	Romansh	Latin	False
rm-puter		Putèr	Latin	True
rm-rumgr		Rumantsch Grischun	Latin	True
rm-surmiran		Surmiran	Latin	True
rm-sursilv		Sursilvan	Latin	True
rm-sutsilv		Sutsilvan	Latin	True
rm-vallader		Vallader	Latin	True
rmc	Latin	Carpathian Romani	Latin	False
rmf	Latin	Finnish Kalo	Latin	False
rmy	Common,Latin	Romani	Latin	False
rn	Common,Latin	Kirundi	Latin	False
ro	Common,Latin	Romanian	Latin	False
roa-tara	Common,Latin	Tarantino	Latin	True
ru	Common,Cyrillic,Latin	Russian	Cyrillic	False
ru-sib		Siberian	Cyrillic	True
rue	Cyrillic	Rusyn	Cyrillic	False
rup	Common,Latin	Aromanian	Latin	False
ruq	Common,Latin	Megleno-Romanian	Latin	False
ruq-cyrl	Common,Latin	Megleno-Romanian in Cyrillic script	Cyrillic	True
ruq-latn	Common,Latin	Megleno-Romanian in Latin script	Latin	True
rw	Common,Latin	Kinyarwanda	Latin	False
rwr	Common,Latin	Marwari	Devanagari, Arabic	False
ryu	Han,Hiragana	Okinawan	CJK	False
sa	Devanagari	Sanskrit	Devanagari	False
sah	Cyrillic	Sakha	Cyrillic	False
sat	Ol_Chiki	Santali	Ol Chiki, Bengali	False
sat-beng		Santali in Bengali script	Bengali	True
sc	Common,Latin	Sardinian	Latin	False
scn	Common,Latin	Sicilian	Latin	False
sco	Common,Latin	Scots	Latin	False
sd	Arabic,Common,Devanagari	Sindhi	Arabic, Devanagari	False
sdc	Common,Latin	Sassarese	Latin	False
sdh	Latin	Southern Kurdish	Arabic	False
se	Common,Latin	Northern Sami	Latin	False
sei	Common,Latin	Seri	Latin	False
ses	Common,Latin	Koyraboro Senni	Latin	False
sg	Common,Latin	Sango	Latin	False
sh	Common,Latin	Serbo-Croatian	Latin, Cyrillic	False
shi	Common,Latin,Tifinagh	Tashelhit	Arabic, Latin, Tifinagh	False
shi-latn	Common,Latin	Tachelhit in Latin script	Latin	True
shi-tfng	Latin	Tachelhit in Tifinagh script	Tifinagh	True
shn	Myanmar	Shan	Burmese	False
shy	Tifinagh	Shawiya	Tifinagh	False
shy-latn	Latin	Shawiya in Latin script	Latin	True
si	Common,Sinhala	Sinhala	Sinhala	False
sid		Sidamo	Latin	False
simple	Common,Latin	Simple English	Latin	False
sjd	Cyrillic	Kildin Sami	Latin	False
sje	Common,Latin	Pite Sami	Latin	False
sjm		Mapun	Latin	False
sjn		Sindarin	Tengwar	False
sjt		Ter Sami	Cyrillic, Latin	False
sju	Latin	Ume Sami	Latin	False
sk	Common,Latin	Slovak	Latin	False
skr	Arabic	Saraiki	Arabic	False
skr-arab	Arabic	Saraiki in Arabic script	Arabic	True
sl	Common,Latin	Slovene	Latin	False
sli	Common,Latin	Silesian German	Latin	False
sm	Common,Latin	Samoan	Latin	False
sma	Common,Latin	Southern Sami	Latin	False
smj	Common,Latin	Lule Sami	Latin	False
smn	Latin	Inari Sami	Latin	False
sms	Latin	Skolt Sami	Latin	False
sn	Common,Latin	Shona	Latin	False
so	Common,Latin	Somali	Latin	False
sou		Southern Thai	Thai	False
sq	Common,Latin	Albanian	Latin	False
sr	Common,Cyrillic,Latin	Serbian	Cyrillic, Latin	False
sr-ec	Common,Cyrillic	Serbian written in Cyrillic	Cyillic	True
sr-el	Common,Latin	Serbian (Latin script)	Latin	True
srn	Common,Latin	Sranan Tongo	Latin	False
srq	Common,Latin	Sirionó	Latin	False
ss	Common,Latin	Swazi	Latin	False
ssf		Thao	Latin	False
st	Common,Latin	Sesotho	Latin	False
stq	Common,Latin	Saterland Frisian	Latin	False
sty	Cyrillic,Latin	Siberian Tatar	Cyrillic, Latin	False
su	Common,Latin	Sundanese	Latin	False
sux-latn		Sumerian in Latin script	Latin	True
sv	Common,Latin	Swedish	Latin	False
sw	Common,Latin	Swahili	Latin	False
sxr		Saaroa	Latin	False
syc		Syriac	Syriac	False
syl-beng		Sylheti in Bengali-Assamese script	Bengali	True
szl	Common,Latin	Silesian	Latin	False
szy	Latin	Sakizaya	Latin	False
ta	Common,Tamil	Tamil	Tamil	False
tay	Common,Latin	Atayal	Latin	False
tce		Southern Tutchone	Latin	False
tcy	Kannada	Tulu	Brahmi	False
te	Common,Telugu	Telugu	Telugu	False
tet	Common,Latin	Tetum	Latin	False
tg	Cyrillic	Tajik	Cyrillic, Arabic, Latin	False
tg-cyrl	Cyrillic	Tajik in Cyrillic script	Cyrillic	True
tg-latn	Common,Latin	Tajik in Latin script	Latin	True
th	Common,Thai	Thai	Thai	False
ti	Ethiopic	Tigrinya	Ge'ez	False
tk	Common,Latin	Turkmen	Latin	False
tl	Common,Latin	Tagalog	Latin	False
tlh		Klingon	Latin	False
tlh-latn		Klingon in Okrand notation	Okrand	True
tlh-piqd		Klingon in pIqaD	PlqaD	True
tli		Tlingit	Latin	False
tly	Latin	Talysh	Arabic, Latin, Cyrillic	False
tly-cyrl		Talysh in Cyrillic script	Cyrillic	True
tn	Common,Latin	Tswana	Latin	False
to	Common,Latin	Tongan	Latin	False
tok		Toki Pona	Latin	False
tpi	Common,Latin	Tok Pisin	Latin	False
tr	Common,Latin	Turkish	Latin	False
tru	Common,Latin	Turoyo	Syriac, Turoyo	False
trv	Latin	Seediq	Latin	False
ts	Common,Latin	Tsonga	Latin	False
tsg		Tausug	Latin	False
tsk		Tseku	Tibetan	False
tsu		Tsou	Latin	False
tt	Common,Cyrillic,Latin	Tatar	Cyrillic, Latin	False
tt-cyrl	Common,Cyrillic	Tatar in Cyrillic script	Cyrillic	True
tt-latn	Common,Latin	Tatar in Latin script	Latin	True
ttm		Northern Tutchone	Latin	False
tum	Common,Latin	Tumbuka	Latin	False
tvl		Tuvaluan	Latin	False
tvn		Tavoyan dialects	Burmese	False
tvx		Taivoan	Latin	False
tw	Common,Latin	Twi	Adinkra	False
ty	Common,Latin	Tahitian	Latin	False
tyv	Common,Cyrillic	Tuvan	Cyrillic	False
tzl		Talossan	Latin	False
tzm	Tifinagh	Central Atlas Tamazight	TIfinagh, Arabic	False
udm	Cyrillic	Udmurt	Cyrillic	False
ug	Arabic,Common,Cyrillic,Latin	Uyghur	Arabic, Cyrillic, Latin	False
ug-arab	Arabic	Uyghur in Arabic script	Arabic	True
ug-latn	Common,Latin	Uyghur in Latin script	Latin	True
