count	language_code	type
5460	ary	PER
5304	pnb	ORG
5265	ace	ORG
5177	ty	LOC
5171	nys	PER
5141	pam	ORG
5129	zh-my	PER
5109	zh-mo	PER
5031	mzn	LOC
4961	kk-kz	ORG
4947	cdo	LOC
4935	xmf	LOC
4921	si	ORG
4919	cv	PER
4906	os	LOC
4865	nah	LOC
4860	gu	ORG
4856	kk-cn	ORG
4684	bcl	ORG
4596	new	ORG
4595	egl	PER
4530	bcl	LOC
4457	mai	LOC
4414	nah	ORG
4328	gu	PER
4237	hak	LOC
4188	pa	LOC
4180	ilo	LOC
4019	tet	LOC
3973	mai	PER
3942	ha	ORG
3933	ilo	ORG
3884	bho	LOC
3823	zea	ORG
3726	vro	PER
3706	sm	LOC
3672	or	LOC
3621	ang	LOC
3617	bo	LOC
3564	ay	LOC
3551	ang	ORG
3520	ne	ORG
3517	ky	PER
3475	mn	LOC
3461	my	LOC
3375	mi	ORG
3350	lad	LOC
3327	yi	PER
3300	vep	LOC
3292	zea	LOC
3260	ig	ORG
3234	ckb	ORG
3195	my	PER
3195	dsb	LOC
3172	cbk-zam	ORG
3158	pfl	ORG
3147	frr	ORG
3143	ku-latn	LOC
3135	tpi	ORG
3114	bo	ORG
3041	na	ORG
3032	mt	ORG
3032	kw	LOC
2987	pa	ORG
2966	na	LOC
2944	lad	ORG
2928	cbk-zam	LOC
2916	ki	LOC
2902	nv	LOC
2884	xmf	PER
2828	ku-arab	LOC
2806	hak	ORG
2803	crh-latn	LOC
2794	hyw	PER
2784	qu	ORG
2771	tpi	LOC
2769	tet	ORG
2754	sm	ORG
2685	eml	ORG
2675	my	ORG
2675	mrj	LOC
2674	fj	ORG
2660	map-bms	ORG
2649	xh	ORG
2630	yi	LOC
2623	ary	LOC
2622	haw	ORG
2609	bjn	ORG
2602	pag	ORG
2598	om	ORG
2592	cv	ORG
2569	ary	ORG
2541	myv	LOC
2520	pfl	LOC
2507	nso	LOC
2503	ig	LOC
2477	ho	ORG
2476	sa	LOC
2475	ps	LOC
2461	as	PER
2420	lzh	LOC
2399	aeb-arab	PER
2379	mzn	PER
2368	dsb	ORG
2362	rw	LOC
2341	dag	LOC
2340	nv	ORG
2335	sat	LOC
2334	stq	ORG
2332	fj	LOC
2317	xh	LOC
2316	sah	LOC
2312	om	LOC
