	language_code	type	count
780	os	ORG	1629
781	os	PER	906
782	ota	LOC	5
783	ota	ORG	4
784	ota	PER	32
785	pa	LOC	4188
786	pa	ORG	2987
787	pa	PER	11558
788	pag	LOC	2231
789	pag	ORG	2606
790	pag	PER	26549
791	pam	LOC	5859
792	pam	ORG	5150
793	pam	PER	28764
794	pap	LOC	54466
795	pap	ORG	40483
796	pap	PER	899748
797	pcd	LOC	68708
798	pcd	ORG	50866
799	pcd	PER	144673
800	pdc	LOC	1257
801	pdc	ORG	1744
802	pdc	PER	33381
803	pdt	LOC	330
804	pdt	ORG	801
805	pdt	PER	27358
806	pfl	LOC	2520
807	pfl	ORG	3161
808	pfl	PER	58152
809	pi	LOC	724
810	pi	ORG	293
811	pi	PER	23
812	pih	LOC	911
813	pih	ORG	1300
814	pih	PER	26584
815	pl	LOC	478409
816	pl	ORG	222849
817	pl	PER	825426
818	pms	LOC	83152
819	pms	ORG	63174
820	pms	PER	182789
821	pnb	LOC	16901
822	pnb	ORG	5304
823	pnb	PER	9853
824	pnt	LOC	234
825	pnt	ORG	155
826	pnt	PER	48
827	prg	LOC	38974
828	prg	ORG	39005
829	prg	PER	79484
830	ps	LOC	2475
831	ps	ORG	1143
832	ps	PER	2050
833	pt	LOC	540129
834	pt	ORG	337843
835	pt	PER	3490294
836	pwn	LOC	1635
837	pwn	ORG	1478
838	pwn	PER	13
839	qu	LOC	6724
840	qu	ORG	2788
841	qu	PER	32564
842	qug	LOC	264
843	qug	ORG	727
844	qug	PER	24742
845	rgn	LOC	38813
846	rgn	ORG	38447
847	rgn	PER	56669
848	rif	LOC	179
849	rif	ORG	720
850	rif	PER	24701
851	rm	LOC	82579
852	rm	ORG	52796
853	rm	PER	173597
854	rmc	LOC	1
855	rmc	PER	2
856	rmf	LOC	58
857	rmf	ORG	136
858	rmf	PER	1105
859	rmy	LOC	793
860	rmy	ORG	1249
861	rmy	PER	27860
862	rn	LOC	754
863	rn	ORG	1063
864	rn	PER	26200
865	ro	LOC	318266
866	ro	ORG	137997
867	ro	PER	437817
868	roa	LOC	8452
869	roa	ORG	8761
870	roa	PER	27482
871	ru	LOC	375866
872	ru	ORG	175160
873	ru	PER	782954
874	rue	LOC	2166
875	rue	ORG	1217
876	rue	PER	681
877	rup	LOC	8687
878	rup	ORG	8106
879	rup	PER	28846
880	ruq	LOC	447
881	ruq	ORG	1000
882	ruq	PER	27625
883	rw	LOC	2362
884	rw	ORG	1416
885	rw	PER	26596
886	rwr	PER	1
887	ryu	LOC	2
888	ryu	ORG	1
889	ryu	PER	2
890	sa	LOC	2476
891	sa	ORG	1006
892	sa	PER	2155
893	sah	LOC	2316
894	sah	ORG	1027
895	sah	PER	1355
896	sat	LOC	2335
897	sat	ORG	724
898	sat	PER	1747
899	sc	LOC	86873
900	sc	ORG	52926
901	sc	PER	246182
902	scn	LOC	88379
903	scn	ORG	59824
904	scn	PER	144321
905	sco	LOC	123150
906	sco	ORG	63433
907	sco	PER	208131
908	sd	LOC	1620
909	sd	ORG	883
910	sd	PER	1395
911	sdc	LOC	1727
912	sdc	ORG	744
913	sdc	PER	26066
914	se	LOC	14661
915	se	ORG	7599
916	se	PER	53490
917	sei	LOC	190
918	sei	ORG	713
919	sei	PER	25954
920	ses	LOC	3
921	ses	ORG	27
922	ses	PER	518
923	sg	LOC	626
924	sg	ORG	1104
925	sg	PER	26137
926	sgs	LOC	7615
927	sgs	ORG	1925
928	sgs	PER	27841
929	sh	LOC	198635
930	sh	ORG	68172
931	sh	PER	63596
932	shi	LOC	650
933	shi	ORG	1233
934	shi	PER	26850
935	shn	LOC	1019
936	shn	ORG	323
937	shn	PER	83
938	shy	LOC	42
939	shy	ORG	32
940	shy	PER	38
941	si	LOC	11950
942	si	ORG	4921
943	si	PER	2130
944	simple	LOC	219
945	simple	ORG	388
946	simple	PER	6738
947	sjd	LOC	50
948	sjd	ORG	51
949	sjd	PER	571
950	sje	LOC	139
951	sje	ORG	257
952	sje	PER	55441
953	sju	LOC	73
954	sju	ORG	125
955	sju	PER	1104
956	sk	LOC	212174
957	sk	ORG	95678
958	sk	PER	335712
959	skr	LOC	98
960	skr	ORG	52
961	skr	PER	110
962	sl	LOC	157460
963	sl	ORG	41884
964	sl	PER	2494971
965	sli	LOC	184
966	sli	ORG	735
967	sli	PER	25875
968	sm	LOC	3706
969	sm	ORG	2758
970	sm	PER	26248
971	sma	LOC	1117
972	sma	ORG	1085
973	sma	PER	44096
974	smj	LOC	756
975	smj	ORG	422
976	smj	PER	20307
977	smn	LOC	1935
978	smn	ORG	1634
979	smn	PER	1437
980	sms	LOC	523
981	sms	ORG	736
982	sms	PER	1231
983	sn	LOC	1072
984	sn	ORG	1342
985	sn	PER	27248
986	so	LOC	1598
987	so	ORG	1990
988	so	PER	27160
989	sq	LOC	44113
990	sq	ORG	23351
991	sq	PER	2788100
992	sr	LOC	316264
993	sr	ORG	169092
994	sr	PER	165980
995	srn	LOC	884
996	srn	ORG	1363
997	srn	PER	28506
998	srq	LOC	5
999	srq	ORG	101
1000	srq	PER	850
1001	ss	LOC	511
1002	ss	ORG	1099
1003	ss	PER	24259
1004	st	LOC	934
1005	st	ORG	1189
1006	st	PER	26421
1007	stq	LOC	2148
1008	stq	ORG	2338
1009	stq	PER	33002
1010	sty	ORG	2
1011	sty	PER	6
1012	su	LOC	24787
1013	su	ORG	18644
1014	su	PER	82644
1015	sv	LOC	868299
1016	sv	ORG	232037
1017	sv	PER	1632673
1018	sw	LOC	97848
1019	sw	ORG	56913
1020	sw	PER	140184
1021	szl	LOC	8898
1022	szl	ORG	5590
1023	szl	PER	31119
1024	szy	LOC	1873
1025	szy	ORG	1656
1026	szy	PER	650
1027	ta	LOC	38810
1028	ta	ORG	22172
1029	ta	PER	28775
1030	tay	LOC	280
1031	tay	ORG	147
1032	tay	PER	445
1033	tcy	LOC	172
1034	tcy	ORG	108
1035	tcy	PER	407
1036	te	LOC	26272
1037	te	ORG	11200
1038	te	PER	14924
1039	tet	LOC	4019
1040	tet	ORG	2773
1041	tet	PER	51467
1042	tg	LOC	28664
1043	tg	ORG	15779
1044	tg	PER	75684
1045	th	LOC	33800
1046	th	ORG	26283
1047	th	PER	31761
1048	ti	LOC	131
1049	ti	ORG	118
1050	ti	PER	39
1051	tk	LOC	1514
1052	tk	ORG	1512
1053	tk	PER	25681
1054	tl	LOC	84918
1055	tl	ORG	19774
1056	tl	PER	67668
1057	tly	LOC	5
1058	tly	ORG	23
1059	tly	PER	252
1060	tn	LOC	854
1061	tn	ORG	1108
1062	tn	PER	26207
1063	to	LOC	747
1064	to	ORG	1051
1065	to	PER	26429
1066	tpi	LOC	2772
1067	tpi	ORG	3140
1068	tpi	PER	28533
1069	tr	LOC	217303
1070	tr	ORG	104807
1071	tr	PER	264219
1072	tru	LOC	178
1073	tru	ORG	644
1074	tru	PER	24528
1075	trv	LOC	145
1076	trv	ORG	106
1077	trv	PER	122
1078	ts	LOC	641
1079	ts	ORG	1179
1080	ts	PER	26183
1081	tt	LOC	193723
1082	tt	ORG	95377
1083	tt	PER	60304
1084	tum	LOC	934
1085	tum	ORG	1420
1086	tum	PER	26227
1087	tw	LOC	894
1088	tw	ORG	1297
1089	tw	PER	24309
1090	ty	LOC	5178
1091	ty	ORG	7729
1092	ty	PER	67622
1093	tyv	LOC	191
1094	tyv	ORG	123
1095	tyv	PER	877
1096	tzm	LOC	6
1097	tzm	ORG	5
1098	tzm	PER	3
1099	udm	LOC	1434
1100	udm	ORG	559
1101	udm	PER	351
1102	ug	LOC	1807
1103	ug	ORG	1766
1104	ug	PER	26936
1105	uk	LOC	312606
1106	uk	ORG	148813
