lang_code	language	is_subtag	en_wikipedia_link	wikidata_url
ho	Hiri Motu	False	https://en.wikipedia.org/wiki/Hiri_Motu	http://www.wikidata.org/entity/Q33617
hoc	Ho	False	https://en.wikipedia.org/wiki/Ho_language	http://www.wikidata.org/entity/Q33270
hr	Croatian	False	https://en.wikipedia.org/wiki/Croatian_language	http://www.wikidata.org/entity/Q6654
hrx	Hunsrik	False	https://en.wikipedia.org/wiki/Hunsrik	http://www.wikidata.org/entity/Q304049
hsb	Upper Sorbian	False	https://en.wikipedia.org/wiki/Upper_Sorbian_language	http://www.wikidata.org/entity/Q13248
ht	Haitian Creole	False	https://en.wikipedia.org/wiki/Haitian_Creole	http://www.wikidata.org/entity/Q33491
hu	Hungarian	False	https://en.wikipedia.org/wiki/Hungarian_language	http://www.wikidata.org/entity/Q9067
hu-formal	formal Hungarian	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64427347
hy	Armenian	False	https://en.wikipedia.org/wiki/Armenian_language	http://www.wikidata.org/entity/Q8785
hyw	Western Armenian	False	https://en.wikipedia.org/wiki/Western_Armenian	http://www.wikidata.org/entity/Q180945
hz	Herero	False	https://en.wikipedia.org/wiki/Herero_language	http://www.wikidata.org/entity/Q33315
ia	Interlingua	False	https://en.wikipedia.org/wiki/Interlingua	http://www.wikidata.org/entity/Q35934
id	Indonesian	False	https://en.wikipedia.org/wiki/Indonesian_language	http://www.wikidata.org/entity/Q9240
ie	Interlingue	False	https://en.wikipedia.org/wiki/Interlingue	http://www.wikidata.org/entity/Q35850
ig	Igbo	False	https://en.wikipedia.org/wiki/Igbo_language	http://www.wikidata.org/entity/Q33578
ii	Nuosu	False	https://en.wikipedia.org/wiki/Nuosu_language	http://www.wikidata.org/entity/Q34235
ik	Inupiaq	False	https://en.wikipedia.org/wiki/Iñupiaq_language	http://www.wikidata.org/entity/Q27183
ike-cans	Eastern Canadian (Aboriginal syllabics)	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64427348
ike-latn	Eastern Canadian in Latin script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362987
ilo	Ilocano	False	https://en.wikipedia.org/wiki/Ilocano_language	http://www.wikidata.org/entity/Q35936
inh	Ingush	False	https://en.wikipedia.org/wiki/Ingush_language	http://www.wikidata.org/entity/Q33509
ins	Indian Sign Language	False	https://en.wikipedia.org/wiki/Indo-Pakistani_Sign_Language	http://www.wikidata.org/entity/Q3306265
io	Ido	False	https://en.wikipedia.org/wiki/Ido	http://www.wikidata.org/entity/Q35224
is	Icelandic	False	https://en.wikipedia.org/wiki/Icelandic_language	http://www.wikidata.org/entity/Q294
